score,y
0.0015253866215446518,0
0.006329355265681514,0
0.007201276305625236,0
0.0484793621879222,0
0.005913443489535326,0
0.024001353075908255,0
0.021692696727249394,0
0.004606601953705491,0
0.04539431929781709,0
0.005012800186010745,0
0.023123525600149023,0
0.008003118863298075,0
0.0032936132739725395,0
0.0023159691510227934,0
0.01602343988780421,0
0.00827845151421335,0
0.0037173615280344688,0
0.004293781224195506,0
0.005886967955325148,0
0.004707923927220488,0
0.009142334312844592,0
0.004397626274262304,0
0.009750741446578799,0
0.005055095157688279,0
0.003303811664752012,0
0.00418354458216052,0
0.00416528991883894,0
0.004501981672925983,0
0.0025255962622654257,0
0.0044090851112246685,0
0.003348548125964635,0
0.005652873238769806,0
0.006102032544885218,0
0.0018410346397748061,0
0.01654539523986742,0
0.003842550170099409,0
0.006344402940268988,0
0.005370689290499845,0
0.010336087074314717,0
0.0035596948121842664,0
0.0008432307347978899,0
0.007691878837192332,0
0.007832065285546539,0
0.003646921989351232,0
0.004656471371550093,0
0.0022010422225619062,0
0.017224489461110003,0
0.01293947792450944,0
0.0021848721855965356,0
0.013483686526699826,0
0.00849399861409338,0
0.002105712428683414,0
0.007226787898784006,0
0.007439973992211511,0
0.006375940986187032,0
0.0032866113887870725,0
0.01568232885228192,0
0.004188325617416877,0
0.004040050624726775,0
0.004373878885273052,1
0.004550011326586092,1
0.002317733102906336,1
0.004532950966227455,1
0.010300322589434382,1
0.007309894540998499,1
0.008464439104942104,1
0.0030778862472690483,1
0.02569657473246708,1
0.05189100273679108,1
0.011431379518494758,1
0.0625572297722156,1
0.0043707917263124466,1
0.02529853950063873,1
0.027302122661844935,1
0.0073339655630522355,1
0.012914218930898719,1
0.008947682777050428,1
0.0034351148404541077,1
0.009016697924626501,1
0.005794107875253588,1
0.00369363818193178,1
0.00486351227937254,1
0.0031302596347124764,1
0.01332067484113733,1
0.009266356254842553,1
0.056123005350390276,1
0.0028280533192989446,1
0.0051641762441694975,1
0.011836987664681602,1
0.03364184175740113,1
0.03522045881010568,1
0.01810282036133739,1
0.0276898946872363,1
0.023119099338612954,1
0.024384390570451348,1
0.006608748413177862,1
0.0028791813675813505,1
0.004698574905354337,1
0.02748131539778594,1
0.002131675019079743,1
0.005609050589713814,1
0.004094516366991068,1
0.00922097030878164,1
0.020235582414194597,1
0.005306169454220827,1
0.0034561567778878936,1
0.01438190683060238,1
0.012568100254407766,1
0.005279985612572295,1
0.028979325166695952,1
0.005914499535840345,1
0.0047485873853173755,1
0.013077177733275809,1
0.013032094682723976,1
0.005574050339704003,1
0.024027804232623413,1
0.007522879829606133,1
0.007670599431696904,1
