coefficients,standard_error,wald_statistics,p_value,feature
0.4059981016870375,0.02774060449055004,14.635517471342146,0.0,車輛撞擊部位大類別名稱-最初
-0.5071311240933438,0.024836333954030263,-20.41892032181546,0.0,車道劃分設施-分向設施大類別名稱
0.35969203712564807,0.030277106914385808,11.88000023062787,0.0,車道劃分設施-分道設施-快車道或一般車道間名稱
-0.37359249160442914,0.03234780435444856,-11.549238010432434,0.0,車道劃分設施-分道設施-路面邊線名稱
0.1443989225819313,0.031277008208095536,4.6167754160244785,3.8974865945728965e-06,事故類型及型態大類別名稱
0.07968978853591874,0.022449462754340985,3.549741452966814,0.00038560966430045696,光線名稱
0.09102620536448633,0.025946393579337177,3.5082411390296837,0.000451079981421465,當事者屬-性-別名稱
-0.0887833224582474,0.03266224448646382,-2.71822478381857,0.006563323226985496,號誌-號誌種類名稱
-0.052220043479232515,0.020168339150489514,-2.5892089125229263,0.009619671417036901,道路類別-第1當事者-名稱
-0.06455977287186426,0.025500175988278383,-2.5317383261017623,0.011349865708141005,當事者事故發生時年齡
0.03644811589548979,0.017498545058956462,2.0829226528655975,0.037258274409881276,車道劃分設施-分道設施-快慢車道間名稱
0.10217078472155831,0.05942925220882549,1.719200241028534,0.0855779169548323,道路型態大類別名稱
-0.032721188340638446,0.03687265701085192,-0.8874106449938863,0.3748578544260701,天候名稱
0.051679290891259326,0.059774526677045255,0.8645704744844984,0.38727458384727464,事故位置大類別名稱
-0.018703763494218636,0.03744559757152344,-0.4994916547530929,0.6174330644007933,路面狀況-路面狀態名稱
0.007407235104426067,0.023461055226300934,0.3157247205199113,0.7522114614793836,肇因研判大類別名稱-主要
