coefficients,standard_error,wald_statistics,p_value,feature
1.6591633965522075,0.1724482123782921,9.621226997195965,0.0,速限-第1當事者
-0.5444755912217413,0.4716332258500098,-1.154447060510739,0.24831693078491002,路面狀況-路面狀態名稱
-0.4768619196510501,0.4891206668360914,-0.9749371719164153,0.32959142599748636,天候名稱
0.44230299070002854,0.48116154551182827,0.9192401072482538,0.3579699971620256,事故類型及型態大類別名稱
-0.4071434458542034,0.45852168411049976,-0.8879480730426816,0.3745686840037483,道路類別-第1當事者-名稱
-0.38346963291329955,0.4739522144528182,-0.8090892314028292,0.41846382193425047,光線名稱
0.3494740096455127,0.508465367927108,0.6873113326680141,0.4918865589012742,當事者屬-性-別名稱
-0.28693952502730424,0.5249021585607923,-0.5466533531011798,0.5846169071031855,車道劃分設施-分向設施大類別名稱
-0.27853099320775127,0.5677979920696175,-0.4905459284780294,0.6237476380217453,號誌-號誌種類名稱
0.26878147081650167,0.638859803286622,0.42072058600924983,0.673959127048243,車道劃分設施-分道設施-快車道或一般車道間名稱
0.19297930551590847,0.4755939219750363,0.4057648691440549,0.6849153737536029,車輛撞擊部位大類別名稱-最初
0.49847992091747,1.8725224562927616,0.2662077131530724,0.7900792430581536,事故位置大類別名稱
0.11010181473016503,0.45504902537608455,0.2419559401081436,0.8088143036443289,車道劃分設施-分道設施-快慢車道間名稱
0.33052224907707484,1.860792497858707,0.1776244527304473,0.8590179194121104,道路型態大類別名稱
0.07042408101524278,0.4683452223507796,0.15036788602595544,0.8804743764075083,肇因研判大類別名稱-主要
-0.07513845704182925,0.5266127735450719,-0.1426825569307963,0.886540893305978,當事者事故發生時年齡
0.07981145540025554,0.6096721771435164,0.13090880376761557,0.8958474502204989,車道劃分設施-分道設施-路面邊線名稱
