車道劃分設施-分向設施大類別名稱,受傷0,受傷1,受傷2,死亡0,死亡1,死亡2,總數
中央分向島,0.4,72.96,26.63,99.47,0.52,0.01,21889
單向禁止超車線,0.0,74.82,25.18,100.0,0.0,0.0,691
無,0.22,69.68,30.1,99.66,0.33,0.01,40167
行車分向線,0.26,72.7,27.04,99.59,0.41,0.01,16424
雙向禁止超車線,0.23,71.67,28.1,99.64,0.35,0.01,33319
