coefficients,standard_error,wald_statistics,p_value,feature
-0.4967365638649539,0.02316616119885402,-21.44233391113269,0.0,車道劃分設施-分向設施大類別名稱
0.377147623681354,0.028180719323142676,13.383179448213426,0.0,車道劃分設施-分道設施-快車道或一般車道間名稱
-0.37544091395480517,0.03017334933925335,-12.442798767002762,0.0,車道劃分設施-分道設施-路面邊線名稱
0.07523723160813432,0.021164059498430803,3.554952754395382,0.0003780470138261549,光線名稱
-0.10430437104409587,0.031073302472877564,-3.35671984447544,0.0007887298814694965,號誌-號誌種類名稱
-0.0642611276715294,0.01996097896559133,-3.219337477500604,0.0012848717172966317,道路類別-第1當事者-名稱
0.04266754300005788,0.016546948892616913,2.5785746530646336,0.009920886061363099,車道劃分設施-分道設施-快慢車道間名稱
0.10239940468779161,0.058680063901580495,1.7450458959884259,0.08097688021738492,道路型態大類別名稱
0.009019731778798286,0.019131069236871717,0.4714703431951605,0.6373048931833394,事故類型及型態大類別名稱
0.016781554758569853,0.05945048799276675,0.2822778302612359,0.7777304835358065,事故位置大類別名稱
