事故位置大類別名稱,受傷0,受傷1,受傷2,死亡0,死亡1,死亡2,總數
交叉路口,0.18,68.9,30.92,99.71,0.29,0.01,65305
交流道,0.56,68.89,30.56,99.44,0.56,0.0,180
其他,0.72,78.21,21.07,99.19,0.81,0.0,1106
路段,0.37,74.75,24.88,99.48,0.51,0.01,45899
