coefficients,standard_error,wald_statistics,p_value,feature
-3.0213273473944837,0.28221128353258057,-10.70590555265902,0.0,事故類型及型態大類別名稱
-0.5181400620287572,0.45246216012458107,-1.1451566731814486,0.25214426251471167,號誌-號誌種類名稱
0.3572378996601619,0.4048297074051143,0.8824399324594844,0.3775389492772292,車道劃分設施-分道設施-快慢車道間名稱
-0.3205396757767717,0.6206337981828064,-0.5164715114054382,0.6055251312599361,車道劃分設施-分向設施大類別名稱
-0.19933258273782228,0.5085538372947166,-0.3919596473761445,0.6950880296773991,光線名稱
-0.2215644419002623,0.5768276183370131,-0.38410858782911583,0.7008979666597139,車道劃分設施-分道設施-快車道或一般車道間名稱
-0.36837283831714907,0.9955533913382267,-0.3700181642915011,0.7113689562918455,道路型態大類別名稱
0.14638895219388035,0.6109882232983221,0.2395937378360961,0.810645219880066,車道劃分設施-分道設施-路面邊線名稱
-0.13508045020227913,1.1211806954847712,-0.12048053515929798,0.9041024980131904,事故位置大類別名稱
0.04828515682236349,0.5514922056136771,0.0875536523107046,0.9302314407447743,道路類別-第1當事者-名稱
0.0,316.2277660168379,0.0,1.0,速限-第1當事者
