coefficients,standard_error,wald_statistics,p_value,feature
1.5678998502507067,0.37391173332299055,4.193235222432379,2.7500402297375715e-05,速限-第1當事者
-0.12458176856781038,1.4508326686480855,-0.08586915035756544,0.9315704353527452,車道劃分設施-分向設施大類別名稱
0.07768850093830257,1.609980166998208,0.04825432171823086,0.9615135581038623,車道劃分設施-分道設施-快車道或一般車道間名稱
-0.060612765333586636,1.673495704224711,-0.03621925361419857,0.9711075338969917,車道劃分設施-分道設施-路面邊線名稱
0.012824097894755674,1.3678555589336112,0.009375330465998487,0.9925196781516679,光線名稱
-0.010676774488063872,1.2709702872817448,-0.008400491022412925,0.9932974567412705,車道劃分設施-分道設施-快慢車道間名稱
0.030211050755308423,3.6887510664194787,0.008190048667239849,0.9934653596701666,事故位置大類別名稱
0.02150728807505349,3.695047365932096,0.0058205716855887065,0.9953558819400923,道路型態大類別名稱
-0.004636952752499743,1.1340992611406993,-0.004088665702714421,0.9967377258508638,道路類別-第1當事者-名稱
-0.007027633651194826,1.7489351364290904,-0.004018235728023386,0.9967939203786229,號誌-號誌種類名稱
0.00016758529640441776,1.3300176965209396,0.0001260023057157716,0.9998994647059098,事故類型及型態大類別名稱
